 -- Event     2 Run:     2 length:  5134 type:  1 (Data Event)  1660163116
Packet  1001  5126 -1 (sPHENIX Packet)  81 (IDDRS4V1)
 Samples 1024  enabled channnels:   0  1  2  3
   ch |       time          ch0          ch1          ch2          ch3
  177 |    89.3066         -8.5         -7.5         -7.8         -7.3   
  178 |    89.8112         -7.7           -8         -8.5         -7.5   
  179 |    90.3158         -6.9         -8.8         -8.3         -8.1   
  180 |    90.8203         -7.8         -7.9         -7.2         -7.4   
  181 |    91.3249         -7.5         -6.8         -6.4         -6.7   
  182 |    91.8294         -6.9         -8.1         -7.3         -6.7   
  183 |     92.334         -7.7         -7.3           -7         -6.6   
  184 |    92.8385         -7.1           -8         -7.1         -7.9   
  185 |    93.3431         -7.5         -7.3         -8.2         -8.4   
  186 |    93.8477           -7         -7.5         -8.2         -7.7   
  187 |    94.3522         -7.2         -7.2           -8         -7.8   
  188 |    94.8568         -8.5         -8.3         -8.6         -8.4   
  189 |    95.3613         -8.4         -8.1         -8.6         -7.8   
  190 |    95.8659         -9.4         -8.5         -8.4         -7.8   
  191 |    96.3704           -9         -9.4         -9.1         -8.9   
  192 |     96.875           -9         -8.6         -9.3           -9   
  193 |    97.3796           -9           -8         -8.3           -8   
  194 |    97.8841         -8.6         -8.6         -8.4         -7.7   
  195 |    98.3887         -9.1         -9.1         -8.3         -7.2   
  196 |    98.8932         -8.5         -7.8         -8.5         -7.8   
  197 |    99.3978         -7.3         -7.5         -7.4         -8.3   
  198 |    99.9023         -7.7         -7.6         -6.7         -7.2   
  199 |    100.407         -7.9         -7.9         -7.6         -8.2   
  200 |    100.911         -7.7         -7.3         -7.1           -7   
  201 |    101.416         -7.1         -6.7         -6.5         -7.5   
  202 |    101.921         -7.3         -7.8           -7         -8.4   
  203 |    102.425         -7.5         -7.8         -7.5         -6.4   
  204 |     102.93         -7.9         -8.3         -8.4         -8.3   
  205 |    103.434         -8.1         -8.1         -8.9           -8   
  206 |    103.939         -9.1         -8.3         -8.5         -8.4   
  207 |    104.443           -9         -8.6         -8.3         -9.3   
  208 |    104.948         -8.8         -8.2           -9         -9.6   
  209 |    105.452         -8.1         -8.8         -8.3         -8.1   
  210 |    105.957         -7.6         -8.4         -7.6         -7.7   
  211 |    106.462         -7.5         -7.8         -7.6         -7.1   
  212 |    106.966         -7.4         -7.2         -7.7         -6.8   
  213 |    107.471         -7.6         -6.4         -6.2         -6.2   
  214 |    107.975         -5.7           -5         -6.6         -6.3   
  215 |     108.48         -5.7         -6.6         -6.7         -6.9   
  216 |    108.984         -7.5           -7           -7         -7.6   
  217 |    109.489         -6.7         -7.6         -7.3         -7.6   
  218 |    109.993         -7.3         -8.1         -7.4         -7.9   
  219 |    110.498         -8.1         -8.6           -8         -8.3   
  220 |    111.003           -9         -8.9           -9         -8.8   
  221 |    111.507         -9.4         -9.8           -9           -9   
  222 |    112.012         -8.3         -8.9           -9         -8.6   
  223 |    112.516         -8.6         -9.8         -9.5         -8.8   
  224 |    113.021          -10         -9.6         -9.6         -8.7   
  225 |    113.525         -8.7         -9.3         -9.5         -8.8   
  226 |     114.03         -8.7         -8.9         -8.6         -9.1   
  227 |    114.535         -9.4         -8.4         -8.4         -8.8   
  228 |    115.039         -8.7         -8.2         -7.9         -7.4   
  229 |    115.544         -7.5           -7         -7.9         -6.9   
  230 |    116.048         -7.6         -8.4         -7.9         -7.3   
  231 |    116.553           -7         -7.3         -7.2         -7.4   
  232 |    117.057         -7.3         -7.3         -6.4         -7.5   
  233 |    117.562         -6.9         -7.5         -7.7         -7.8   
  234 |    118.066         -6.9         -7.5         -7.9         -8.4   
  235 |    118.571         -7.3         -7.6         -8.5         -8.7   
  236 |    119.076         -7.4         -8.6           -8         -8.4   
  237 |     119.58         -8.4           -9         -8.1           -8   
  238 |    120.085         -7.8           -8         -8.2         -8.4   
  239 |    120.589           -9         -8.6         -8.9         -8.8   
  240 |    121.094         -8.2         -8.3         -7.5           -8   
  241 |    121.598         -8.2         -8.1           -8         -7.4   
  242 |    122.103         -7.9         -7.6         -7.2           -7   
  243 |    122.607         -7.9         -8.2         -7.2         -7.2   
  244 |    123.112         -7.6         -7.4         -7.3         -7.9   
  245 |    123.617         -6.5         -7.7         -8.1         -7.5   
  246 |    124.121         -6.4         -7.3         -7.2         -7.7   
  247 |    124.626         -6.6         -7.5         -7.6         -6.9   
  248 |     125.13         -7.1         -7.4         -7.4         -7.6   
  249 |    125.635         -7.9         -7.8         -7.8         -7.7   
  250 |    126.139         -7.9         -8.5         -8.6         -8.6   
  251 |    126.644         -8.2         -7.9         -8.7         -8.5   
  252 |    127.148         -8.4         -8.8         -8.6         -8.6   
  253 |    127.653         -8.4         -8.9           -8           -9   
  254 |    128.158         -9.5         -9.6         -8.4         -8.7   
  255 |    128.662         -8.9         -9.6        -10.1         -8.6   
  256 |    129.167         -9.2         -7.8         -9.4         -8.9   
  257 |    129.671         -8.9         -8.8         -8.7           -8   
  258 |    130.176         -7.6         -9.2         -8.5         -8.1   
  259 |     130.68         -8.2         -9.2         -8.8         -8.1   
  260 |    131.185           -8         -7.6         -8.4         -8.2   
  261 |    131.689         -8.4           -8         -7.3           -8   
  262 |    132.194         -5.8         -6.9         -6.7         -6.6   
  263 |    132.699         -7.3         -6.7         -7.7         -6.6   
  264 |    133.203         -7.6         -7.5         -7.4         -7.6   
  265 |    133.708         -8.1         -7.9         -8.1         -7.8   
  266 |    134.212         -7.7         -7.8         -7.9         -8.2   
  267 |    134.717         -8.1         -7.4         -7.5         -7.6   
  268 |    135.221         -7.7         -8.3         -9.1         -8.9   
  269 |    135.726         -8.8         -7.7         -8.6         -8.1   
  270 |     136.23         -8.5         -8.6         -8.4         -9.3   
  271 |    136.735         -8.9         -9.3         -8.6         -8.7   
  272 |     137.24         -8.7         -8.5         -8.9         -8.5   
  273 |    137.744         -8.3         -8.3         -8.9         -7.9   
  274 |    138.249         -7.9         -8.7         -7.6         -7.4   
  275 |    138.753         -7.6         -7.5         -7.4         -8.1   
  276 |    139.258         -6.3         -7.6           -7           -7   
  277 |    139.762         -5.8         -6.1         -5.6         -6.1   
  278 |    140.267         -6.7         -5.5         -6.5         -7.1   
  279 |    140.771         -5.9           -6         -7.3         -7.4   
  280 |    141.276         -6.6         -6.5         -6.6         -6.5   
  281 |    141.781         -6.2         -7.1           -7         -6.7   
  282 |    142.285         -7.3         -8.3         -8.7         -8.8   
  283 |     142.79         -8.6         -9.3         -7.9         -9.9   
  284 |    143.294         -8.5         -9.6         -9.1         -8.8   
  285 |    143.799         -9.3         -9.6         -9.4         -9.5   
  286 |    144.303         -9.7         -9.6         -9.3         -9.9   
  287 |    144.808          -10        -10.6          -10        -10.1   
  288 |    145.312         -9.6          -10         -9.9         -8.7   
  289 |    145.817         -9.8         -9.9         -9.7         -8.8   
  290 |    146.322         -8.8         -8.4         -8.9         -8.7   
  291 |    146.826         -8.8         -8.9         -9.1         -8.9   
  292 |    147.331         -7.1         -7.6         -7.4         -7.4   
  293 |    147.835         -6.6         -8.2         -8.1         -6.4   
  294 |     148.34         -6.7         -6.8         -7.9           -7   
  295 |    148.844         -7.4         -6.5         -6.8         -7.4   
  296 |    149.349         -7.5           -7         -6.8         -6.9   
  297 |    149.854           -6         -6.8         -7.6         -7.6   
  298 |    150.358         -6.7         -7.1         -7.5         -7.6   
  299 |    150.863         -7.2         -7.7           -8         -8.3   
  300 |    151.367         -7.5         -7.9         -7.5         -8.4   
  301 |    151.872         -7.2         -8.6         -7.1         -8.4   
  302 |    152.376         -8.3         -8.4         -8.4           -9   
  303 |    152.881         -8.3         -8.3         -8.8         -8.6   
  304 |    153.385         -8.6           -8         -8.2         -8.2   
  305 |     153.89         -7.8         -8.3           -8         -7.6   
  306 |    154.395         -7.9         -8.3         -7.4         -7.4   
  307 |    154.899         -7.5         -7.8         -7.3         -7.5   
  308 |    155.404         -7.6           -8           -7         -7.8   
  309 |    155.908         -7.1         -7.3         -7.5         -7.2   
  310 |    156.413         -6.2         -7.1         -8.6         -6.4   
  311 |    156.917         -6.6         -6.8         -7.7         -6.9   
  312 |    157.422         -7.4         -6.9         -7.5         -6.8   
  313 |    157.926         -7.4         -7.6           -7         -7.5   
  314 |    158.431         -7.7         -8.3         -8.2         -7.4   
  315 |    158.936         -8.3         -7.9         -9.4         -9.3   
  316 |     159.44         -8.4         -7.8           -8         -8.6   
  317 |    159.945         -8.2         -8.3         -8.3         -9.3   
  318 |    160.449           -8         -9.5         -9.1         -9.4   
  319 |    160.954         -8.1        -10.2        -10.2         -9.7   
  320 |    161.458         -8.8           -8         -9.7         -8.5   
  321 |    161.963         -8.1         -8.5         -8.4           -8   
  322 |    162.467         -8.2           -8         -7.4         -8.3   
  323 |    162.972         -8.1         -7.8           -8         -8.9   
  324 |    163.477         -7.1         -7.9           -8         -8.3   
  325 |    163.981         -7.9         -7.6         -8.1         -7.3   
  326 |    164.486         -8.2         -7.8         -7.6         -7.3   
  327 |     164.99         -7.5         -8.4         -7.9         -7.1   
  328 |    165.495         -6.6         -7.3         -7.5         -7.5   
  329 |    165.999         -6.1         -7.7         -8.4         -7.3   
  330 |    166.504         -7.4         -7.4         -7.9         -6.9   
  331 |    167.008         -7.7         -7.7         -8.5         -7.7   
  332 |    167.513         -7.6         -8.2           -8         -7.7   
  333 |    168.018         -7.5         -8.7         -7.6         -8.1   
  334 |    168.522         -8.7         -9.1         -8.4         -8.6   
  335 |    169.027           -9         -9.3           -9         -8.4   
  336 |    169.531         -8.5         -8.1         -8.8         -8.6   
  337 |    170.036           -8         -6.3         -8.1         -8.8   
  338 |     170.54         -8.4         -7.6         -7.2         -8.3   
  339 |    171.045         -7.7         -7.8         -7.6         -7.8   
  340 |    171.549         -6.4         -7.5         -7.2         -7.8   
  341 |    172.054         -6.4         -7.2         -6.8         -7.1   
  342 |    172.559         -6.7         -6.1         -6.6         -7.5   
  343 |    173.063         -5.8         -6.2         -7.2         -6.5   
  344 |    173.568         -6.8         -5.6         -7.4         -7.6   
  345 |    174.072         -7.4         -7.4         -7.1         -8.5   
  346 |    174.577         -7.5         -7.2         -8.2         -8.3   
  347 |    175.081         -7.8         -7.9         -7.9           -8   
  348 |    175.586         -8.7         -8.9         -8.7         -9.1   
  349 |     176.09         -8.8         -8.9         -8.5           -9   
  350 |    176.595         -9.5         -9.7          -10         -9.1   
  351 |      177.1         -9.5         -9.4        -10.2         -8.8   
  352 |    177.604         -9.3         -8.2         -9.1         -8.1   
  353 |    178.109         -8.5         -8.6         -8.8         -8.4   
  354 |    178.613         -9.2         -9.1         -8.3         -8.7   
  355 |    179.118         -8.3         -8.3         -8.3         -8.1   
  356 |    179.622         -7.1         -7.1         -8.4         -7.7   
  357 |    180.127         -7.9         -7.7         -7.7         -7.7   
  358 |    180.632         -8.3           -7         -7.8         -6.6   
  359 |    181.136         -7.4           -8         -8.5         -7.8   
  360 |    181.641         -6.9         -7.9         -7.4         -7.6   
  361 |    182.145         -7.9         -6.9         -7.7         -7.2   
  362 |     182.65         -7.1         -7.1         -7.5         -6.6   
  363 |    183.154           -8         -8.4           -8         -8.3   
  364 |    183.659         -8.6         -8.4         -8.4         -8.5   
  365 |    184.163         -8.5         -8.6         -7.7         -8.8   
  366 |    184.668         -7.6         -7.8         -8.8         -7.9   
  367 |    185.173         -8.1         -8.7         -8.7           -8   
  368 |    185.677         -8.5         -8.5         -7.5         -7.9   
  369 |    186.182         -7.4         -8.5         -8.1         -7.5   
  370 |    186.686           -8           -8         -8.6         -8.1   
  371 |    187.191         -7.6           -8         -8.4         -8.7   
  372 |    187.695           -8         -7.6         -7.6         -7.8   
  373 |      188.2         -7.9           -8         -7.4         -7.2   
  374 |    188.704         -7.2         -7.4         -7.7         -7.4   
  375 |    189.209         -7.2           -7         -7.6         -7.4   
  376 |    189.714         -7.3           -7         -7.6         -8.1   
  377 |    190.218         -7.5         -8.1         -8.8         -7.8   
  378 |    190.723         -7.5         -6.8         -7.4         -7.9   
  379 |    191.227         -8.6         -8.6         -8.1           -8   
  380 |    191.732         -8.4         -8.4         -9.1         -8.4   
  381 |    192.236         -9.4         -9.2         -8.4         -9.5   
  382 |    192.741         -8.6         -8.6         -8.4         -7.9   
  383 |    193.245         -8.9         -9.3           -9         -8.5   
  384 |     193.75           -8         -8.5         -9.1         -9.1   
  385 |    194.255         -7.4           -9         -9.2         -9.4   
  386 |    194.759         -8.7         -8.8         -8.5           -8   
  387 |    195.264         -8.2         -8.2         -7.8         -7.8   
  388 |    195.768         -7.2         -8.2         -8.4         -7.3   
  389 |    196.273         -7.2         -8.4         -8.4         -8.4   
  390 |    196.777         -7.9         -7.5         -7.5         -7.5   
  391 |    197.282           -8         -7.9         -7.4         -7.8   
  392 |    197.786         -6.1         -6.2         -6.4         -7.7   
  393 |    198.291         -6.1         -7.3         -7.3         -7.1   
  394 |    198.796         -8.1         -8.3         -9.2         -9.2   
  395 |      199.3         -8.6         -7.8           -8         -7.8   
  396 |    199.805         -8.8         -8.6         -7.7         -8.2   
  397 |    200.309         -9.1           -9         -9.3           -9   
  398 |    200.814         -9.3         -9.4         -9.2         -9.3   
  399 |    201.318           -8         -8.5         -8.4         -7.7   
  400 |    201.823         -8.3         -8.5         -6.9         -9.3   
  401 |    202.327         -8.7         -7.9         -8.3         -8.1   
  402 |    202.832         -7.2         -7.8         -8.6         -8.8   
  403 |    203.337         -6.7         -7.2         -7.8         -6.7   
  404 |    203.841         -7.1         -7.2         -7.8         -7.5   
  405 |    204.346         -6.8         -8.3         -8.3         -7.9   
  406 |     204.85         -6.9         -8.4         -7.6         -8.5   
  407 |    205.355         -7.9         -7.9         -6.8         -6.9   
  408 |    205.859         -6.9         -6.4         -7.5         -6.6   
  409 |    206.364         -8.4         -8.4         -7.9         -8.6   
  410 |    206.868         -7.7         -8.3         -7.9         -7.6   
  411 |    207.373         -8.9         -8.2        -10.1         -8.7   
  412 |    207.878           -9         -7.7         -8.8         -8.7   
  413 |    208.382         -9.6          -11         -9.4         -9.6   
  414 |    208.887         -9.6           -9         -9.8        -10.2   
  415 |    209.391         -9.3          -10        -11.1         -8.6   
  416 |    209.896         -8.4         -8.6         -9.2         -8.3   
  417 |      210.4         -9.6         -8.5         -8.7         -8.8   
  418 |    210.905         -9.3         -8.8         -8.2         -8.2   
  419 |     211.41         -9.2         -9.4           -8         -8.2   
  420 |    211.914         -8.1         -8.2           -8         -8.7   
  421 |    212.419         -7.4         -8.2           -9         -8.1   
  422 |    212.923         -7.6           -8         -7.7         -7.4   
  423 |    213.428         -7.9         -7.9         -7.7         -8.3   
  424 |    213.932         -6.4         -8.4         -7.6         -7.1   
  425 |    214.437           -8           -9         -8.8         -8.2   
  426 |    214.941         -7.3         -6.3         -7.7         -7.8   
  427 |    215.446         -8.6         -8.1         -8.8           -8   
  428 |    215.951         -7.2         -7.1         -7.5         -7.3   
  429 |    216.455           -8         -9.6         -8.8         -9.4   
  430 |     216.96           -8         -8.3         -8.3         -8.4   
  431 |    217.464         -8.9           -9         -7.9         -9.3   
  432 |    217.969         -8.5         -8.5         -8.3         -8.1   
  433 |    218.473         -8.1         -8.2         -9.1         -8.1   
  434 |    218.978         -7.5         -7.6         -7.8         -7.4   
  435 |    219.482         -8.2         -8.2         -8.8         -7.5   
  436 |    219.987         -7.3         -7.4         -7.6         -6.9   
  437 |    220.492         -8.3         -7.7         -8.2         -6.9   
  438 |    220.996         -7.6         -7.1         -7.1         -6.9   
  439 |    221.501         -7.4         -8.4         -8.1         -7.2   
  440 |    222.005         -6.9         -7.1         -7.2         -7.5   
  441 |     222.51         -7.8         -8.1         -8.7         -8.6   
  442 |    223.014         -7.8         -7.5         -7.7         -7.6   
  443 |    223.519         -8.9         -8.2         -8.5         -8.8   
  444 |    224.023         -7.8         -8.3         -8.7         -8.4   
  445 |    224.528         -7.8         -9.3         -9.5         -9.1   
  446 |    225.033         -7.9         -9.4         -9.1         -8.2   
  447 |    225.537         -8.6         -9.4           -9         -8.6   
  448 |    226.042         -8.9         -8.5           -9         -8.3   
  449 |    226.546        -10.1         -9.6         -9.4         -9.5   
  450 |    227.051         -8.7         -8.7         -9.7           -9   
  451 |    227.555         -8.4         -8.8         -8.2         -8.5   
  452 |     228.06         -7.8         -7.5         -7.6         -7.7   
  453 |    228.564         -8.4           -8         -9.2         -8.6   
  454 |    229.069         -7.5         -6.8         -7.4         -7.6   
  455 |    229.574         -7.8         -6.8         -7.5         -7.9   
  456 |    230.078         -7.3         -7.9         -7.4           -7   
  457 |    230.583         -7.5         -8.5         -8.9           -7   
  458 |    231.087         -7.8         -6.8         -7.7           -8   
  459 |    231.592         -9.2         -7.7         -8.3         -8.7   
  460 |    232.096         -8.1         -7.6           -8         -8.4   
  461 |    232.601         -9.5         -9.3         -8.6         -9.8   
  462 |    233.105         -8.5         -8.8         -8.5         -7.5   
  463 |     233.61         -9.1         -8.4         -8.1         -8.7   
